Organization_Name,Annual_Operating_Budget,Website,Instagram,Facebook,Twitter,LinkedIn,YouTube,Program_Details,Additional_Comments,Evidence_Informed_Implementation_Strategies,Successes,Challenges,Address,Address_to_geocode_1,year_founded,First_Round_Scoring,Location,Required_Documents,Programmability,Needs,Workability,Overall.Score,POC_Led
Level Up Philly (Urban Dream Chasers),"293600",https://levelupphilly.org/,https://www.instagram.com/levelupphilly1/,,,,,"Level Up Philly is an interventional, holistic mentoring program for young people of color from the most high-risk sections of Philadelphia. Based on 20+ years of Pastor Aaron Campbell and Antioch of Calvary Chapel's (""Antioch"") outreach to the West Philadelphia community, Level Up Philly was launched in 2018. It is called Level Up because we meet each young person in their specific high-risk context, and then holistically equip them to ""level up"" to their next levels of success.
Drawing some 850 - 1,000 teens and young adults weekly (ages 13-25 years old), representing 81 different high schools, Level Up's mission is to rescue and raise up a generation amidst the city of Philadelphia's unprecedented gun violence crisis, juvenile poverty crisis, and failing public education crisis. With its 12,000 square foot facility located in the University City/West Philadelphia section of the city, Level Up provides the following services in its dynamic, safe space context: life-skills mentoring, academic tutoring, college prep, peer-to-peer mentoring, anti-retaliation negotiations [between warring neighborhoods], parole and court advocacy, job placement, ex offender aftercare, culinary and nutrition education, art and chess classes, and horticulture (in our adjoining 2,500 square foot community garden), dance classes, city-wide Level Up ""dance battle"" events, and more.
Level Up exists to not only confront the crisis, but to also create the restorative cultural shift<97>with a pioneering, restorative justice approach<97>to help redeem our city<92>s present and future. Level Up is unique in its approach, but it can be replicated and even appended to other like-minded works.",,Violence Interruption,"We excel in reducing gun violence and promoting positive transformation among Philadelphia's high-risk youth. We meet each young person in their specific high-risk context, and then holistically equip them to ""level up"" to their next levels of success.
Our program has redirected numerous violent gun carriers and drug dealers towards lawfulness, even drawing and reforming individuals directly from jail. We currently have 8 Level Up mentees who were ex-offenders pursuing their GED certification at our partner corporation, EDSI Solutions.<a0> One of our Level Up mentees (24 y/o male who had an F3 felony on his record and has been reformed by Level Up) has been hired by PepsiCo via our partnership and now makes $55K/year.<a0>
As we continue combatting the gun violence epidemic plaguing our high-risk young people in Philadelphia, we have found that along with our front lines anti-violence initiatives, we must supplement this by also providing hands-on educational training and academic tutoring that prepares them for college and/or career-path alternatives. In other words, as we are reforming these young people into non-violence ambassadors, there still remains a void in their lives<97>and a daily temptation to resort to their old ways<97>without also giving them a sustainable alternative. To that end, we have launched Level Up Academy, where 120+ of our teens and young adults meet once a week with our tech advancement instructors. They are learning video streaming and marketing, entrepreneurship with tech, intro to computer coding, video game development, and meta verse exploration with our virtual reality headsets. More so, there are tech companies who have already heard of our work and are interested in partnering and giving our kids jobs and internships. Our goal is to have all of our Level Up attendees exposed to the world of opportunities in tech, while preparing as many as we can for non-degreed career pipelines in tech.","We seek improvement in the following three areas: metrics/evaluation, board development, and fundraising.<a0><a0>
1) Metrics and Evaluation: We are looking for ways to capture Level Up<92>s groundbreaking success with a new set of metrics, beyond the traditional means of measuring performance. Behaviors are being changed and lives are being reformed and we want to be able to capture this data accordingly.
2) Board development: We currently have a working board in place and are looking for guidance on the best board composition and structure for our organization.
3) Fundraising: This remains a constant focus for us as our program is currently supported by donations. We are looking to move towards more sustainable means of funding as our program continues to expand.","4721 Chestnut Street, Philadelphia, PA 19139","4721 Chestnut St, Philadelphia, PA 19139","2018",,,,,,,,Yes
Know Your Worth Girls Inc.,"30000",https://www.knowyourworthgirlsinc.org/,https://www.instagram.com/kywgirlsinc/,,,,,"Know Your Worth Girls Inc. is a 501(c)(3) nonprofit that primarily focuses on empowering and supporting at-risk girls while extending support to youth and families in Philadelphia and the surrounding areas. Know Your Worth Girls Inc. promotes self-empowerment, skill development, mental health and wellness, community and civic engagement, and cultural enrichment traveling both domestically and internationally. Know Your Worth Girls Inc. offers programming and resources to underserved individuals. Below are two of its programs based on violence prevention, Black Girls N Sync and Hope-ish.

The mentoring program, Black Girls N Sync, targets bipoc girls ages 8-17, providing a safe haven for girls teaching self-empowerment, and promoting skill development activities to encourage personal growth & success. Black Girls N Sync is informed by the need to empower young girls in the area of jurisdiction by offering them guidance and opportunities to acquire basic skills that will improve the quality of their lives. A significant number of girls globally are vulnerable to environmental risks and discrimination because of the negative social perceptions and perspectives about their position in society. Thus, girls are endangered compared to boys. We hold workshops such as financial literacy, mindset development, sexual awareness, etiquette, and more, while also being involved in community engagement.

The mental health and wellness program, Hope-ish, aims to provide guidance and resources to black girls aged 10-17 who struggle with anxiety and trauma caused by gun violence. HOPE-ish addresses the leading problems that youth face today, including suicide, firearm homicide, and gun violence rates, especially in impoverished communities. With 95% of our program's girls not receiving services for trauma caused by gun violence, HOPE-ish seeks to make a difference. The goal is to raise awareness of the importance of mental health and help young women thrive and build resilience after tragedy. HOPE-ish aims to elevate the mindsets of youth from hopeless to HOPE-ish.

In addressing the impact of gun violence on our youth, we take into account how their environment has influenced their mindset development, whether proactively or adversely. Gun violence exposure is associated with increased levels of anxiety and depression in children. The National Survey on Children's Exposure to Violence found that over 60% of children exposed to violence, including gun violence, reported experiencing symptoms of anxiety or depression. We aim to heal youth affected by providing opportunities to explore outside of their community, such as trail walks and various trips. Allowing them to develop self-worth & life skills through mentorship & fun educational workshops. Exposing the youth to community engagement, cultural enrichment, workforce development, and most importantly acquiring strong mental health. We differ from others because we create a secure and supportive environment for their growth and development. To equip them with essential life skills, while all still having fun. and creating a sense of unity amongst one another.
",,"Community Events, Violence Interruption, Data-informed Decision Making",#NAME?,#NAME?,"1954 Georgian Road, Philadelphia, PA 19138","1954 Georgian Rd, Philadelphia, PA 19138","2019",,,,,,,,Yes
Project Always Receiving,"5000",https://projectalwaysreceiving.org/,https://www.instagram.com/projectalwaysreceiving/,https://www.facebook.com/profile.php?id=100090728117621,,,,The primary objective of outreach and programming is to find sustainable ways to reach community members and reduce gun violence. So far we have tried to do this by improving the food insecurity issues throughout Philadelphia. This has be done through establishing a community garden in Frankford and we're now expanding to North Philadelphia.,,Community Events,"diversity, inclusion, and empathy.","volunteer outreach, funding, and determining impact","1347 Sellers Street, Philadelphia, PA 19124","1347 Sellers St, Philadelphia, PA 19124","2023","Location - Frankford, but expanding to north Philly 
Reqd docs - ?
Programming - 3/5
Needs - 5/5 (volunteer outreach, impact, funding) 
Workability - N/A 
",Frankford - so yes?,No,3,"5",,,Yes
Chew and Chelten Community Development Corporation,"0",Chewandcheltencdc.org,https://www.instagram.com/chewandchelten_cdc_rco/?hl=en,https://www.facebook.com/chewandcheltencdcandrco/,,,,"Under the Chew and Chelten CDC, we have fostered and implemented a program... ""YO, PUT THE GUN DOWN! (A Hip Hop Symphony) Project since 2020, which focuses on gun violence prevention and intervention by creatively interacting with youth and young adults, using creative and performing arts as a platform to address the trauma of gun violence from their own life experiences and perspectives. The techniques we employ and use through our Art Therapy Trauma Workshops and Rehearsals require each participant to engage in internalizing traumatic experiences from the impact of gun violence (directly or indirectly) for creative and performing expression. The technique includes creative writing exercises, personal storytelling, conflict resolution improvisation strategies, proactive rap lyrics, and music created by the youth and young adult participants. 

The project is also an outreach campaign, that provides individuals and community residents with resources and additional information to implement a violence reduction program or activity that promotes safety, opportunity, and/or community engagement in the Chew and Chelten neighborhood.","Not available at this time. 
The Chew and Chelten CDC thank you for your invitation to be a part of this important opportunity.",Street Outreach,"1) The Chew and Chelten CDC is a community-founded organization that honestly deals directly with the families and individuals in the neighborhood. Many of our residents have dealings from 4 generations of families and individuals. We excel with real-time interactions.

2) The Chew and Chelten CDC excels with the understanding that we are an emerging organization willing to reach out to other entities, community organizations, and higher learning institutions to help us be more valuable assets to our Chew and Chelten neighborhood.

3) The Chew and Chelten CDC excels with activities and events related to the impact of gun violence that has recently hit our neighborhood and the many people who are devastated by the loss of their loved ones. These engagements are what keep us unified and striving to realize a better community.","1) The Chew and Chelten CDC seeks help with building a stronger and more purposeful Board of Directors. 

2) The Chew and Chelten CDC seeks growth and improvement in the aspect of grant writing and fundraising.

3) The Chew and Chelten CDC seeks help and improvement in the understanding and implementation of ""Community Organizing and Grassroots Engagement."" Getting the community involved with issues that impact them is very important.","5652 Chew Avenue, Philadelphia, PA 19138","5652 Chew Ave, Philadelphia, PA 19138","2019",,,,,,,,Yes
Philadelphia Youth Football Academy,"21133",http://pyfa215.org,http://instragram.com/pyfa215,http://facebook.com/pyfa215,http://twitter.com/pyfa215,,,"We help our youth build skills to overcome adversity and manage stress through exercise on the way to positive achievement across all aspects of their lives.
We also provide a restorative, strengths-based option to increase positive outcomes in youth diverted away from juvenile system involvement.","Would a youth related, recreational sports program qualify for this opportunity?","Community Events, Other , Credible Messengers, Educational Outreach","*Functioning with the current numbers we have (youth enrolled and attending). Despite the minimal amount of youth in our program; we have sustained over five years (having actual youth attend and participate in programming)). 

*The ability to attain small, minor grants and donations.","*Attaining sizable donations, grants-Funders are reluctant to donate to small, fairly new nonprofit organizations. Our organization is currently building a track record, where we can show funders, we can manage and sustain large donations. 

*Having coaches/volunteers honor their ""word"". And use common sense when they inquire about volunteering/coaching. Many people promised they would volunteer coach with PYFA. When following up to onboard them, they suddenly decide not to and some ""ghost"" themselves. We also had several out of state people inquire about volunteering, knowing they cannot make the commitment to travel to Philadelphia consistently. 

*Enrolling more and consistent attending youth. It seems our targeted youth tend to follow each other. They enroll in our program after learning from their peers (who are already enrolled). Instead of seeing programming for themselves. Some of our youth attend sporadically (due to personal issues or lack of....). We need them to attend more. 


","5826 McMahon Street, Philadelphia, PA 19144","5826 McMahon St, Philadelphia, PA 19144","2020","Location - ?? 
Reqd docs - ?? 
Programming - 2/5
Needs - 3/5 (volunteer recruitment and retention, major donors, large grants, other) 
Workability - N/A 

Overall Score: 2.5",Yes,Yes,2,"3",,2.5,Yes
Community Forgiveness and Restoration,"49000",communityforgivenessandrestoration.com,,,,,,"The Community Forgiveness and Restoration (CFR), Initiative is a Faith-Based Reentry Organization was founded in April 2015, provides services that helps returning citizens transition from incarceration back to their respective communities for the purpose of reducing recidivism. We have provided services to approximately 200 men and women with a success rate of 98%. 
It is our expressed mission to change the current condition of our community by educating and addressing the consciousness of both the public as well as incarcerated men and women. 
Every citizen is redeemable. We place great emphasis on correcting the behavior and mental disorders or confined citizens. By providing proper examination and treatment, a quality education, and job skills, we can return individuals to their community fully rehabilitated and contributing members of society. We conduct internal and external workshops to address unresolved trauma, self image, addiction and behaviors, prison debriefing, support network and healthy relationships.
Our program participants are assigned a Life Coach and develop a service plan to help guide the achievement of goals.
Participants become alumni who give back to the community through activities and events designed to cultivate community cohesion and safety. 
","Our organization seeks to grow in order to have a greater impact on the community, provide jobs and assist in creating a safer environment for all to live.","Community Events, Case Management, Educational Outreach","We excel best in the following three areas:
1. Providing holistic services and resources to returning men and women from incarceration.
2. Ongoing aftercare wellness modules to our graduating participants.
3. Life Coaching to assist in supporting participants daily struggles, concerns and conflicts.
","We are looking to grow in the following areas:
1. Grant writing
2. Strategic Plan Development
3. Qualitative/Quantitative Data Analysis","4077 Lancaster Avenue, Philadelphia, PA 19104","4077 Lancaster Ave, Philadelphia, PA 19104","2015",,,,,,,,Yes
Creative Kids Club,"25000",www.creativekidsclub.net,,,,,,"The primary objective of our program at Creative Kids Club is to be a beacon of hope and a constructive force in addressing the pressing issue of gun violence and murder in our community. We have been actively engaged in this mission for over 15 years offering a range of key activities and strategies to make a positive impact. Our distinctive approach combines providing diverse recreational and educational opportunities for youth, active community engagement, and raising awareness about the challenges our community faces. What truly sets us apart is our unwavering commitment to empowering the next generation through education, physical fitness, and the creative arts. By nurturing resilience and fostering hope in the hearts of our youth, we believe we can create a united, brighter future, where they have a voice in reducing gun violence and building a safer, more harmonious community.","The overarching goal of Creative Kids Club is to be recognized as a transformative force in the community, driven by four key principles:<a0>

1. **Violence Prevention:** To actively contribute to the reduction of violence in the community, ensuring that our youth and families can live in safety and peace.

2. **Strong Foundation:** To establish the organization on a solid foundation, with the capacity to provide enduring support, opportunities, and mentorship for the community's youth.

3. **Commitment:** To demonstrate unwavering commitment to the growth and development of both our young participants and the community as a whole, fostering a brighter future.

4. **Transformational Impact:** To emphasize that Creative Kids Club is not merely a passive presence but a promise that the investment made in our youth will be multiplied and poured back into the community, creating a positive, enduring ripple effect.","Community Events, Data-informed Decision Making, Other","- **Community Outreach and Healing:** Creative Kids Club excels in innovative community outreach through hula hooping and dance, using this unique approach to bring smiles and hope to areas affected by violence, sending a powerful message of peace, love, unity, and respect.

- **Youth Empowerment and Community Engagement:** Through the ""Hoop Circle of Energy"" project, CKC demonstrates a strong commitment to youth empowerment and community engagement, involving kids in making and personalizing hula hoops to symbolize a circle of energy that draws in peace and dispels fear, rejection, and pain.

- **Promoting Unity and Inclusivity:** CKC's dedication to leaving no one feeling left out is showcased in the distribution of hula hoops donated by Chapman Ford dealership. These hula hoops become expressions of love, peace, and harmony, ultimately fostering a stronger sense of unity and belonging within the community.","Areas for Growth and Improvement at Creative Kids Club:

1. **Youth Safety and Well-being:** Addressing the prevailing fear among youth due to high levels of gun violence is a priority. Implementing additional safety measures and creating safe spaces for children is crucial to ensure their well-being and foster a sense of security.

2. **Financial Sustainability:** Securing more funding is essential to expand and enhance programs for the youth. Exploring additional funding sources, partnerships, and grant opportunities could provide the necessary resources to make a more significant impact in the community.

3. **Adult Involvement and Mentorship:** Increasing the involvement of adults as mentors, teachers, and friends to the youth is key. Having positive adult role models who can guide and support the young individuals is essential for their development and providing a safe haven in the community.

4. **Community Engagement and Awareness:** Creating a more active voice within the community is essential to convey the positive impact emerging from challenging circumstances. Building awareness about the organization's work and success stories can help attract support and volunteers who share the vision of nurturing and developing the community's young talents.","220 West Upsal Street, Philadelphia PA 19119","220 W Upsal St, Philadelphia, PA 19119","1996","Location - ?? 
Reqd docs - ?? 
Programming - 4/5
Needs - 4/5 (funding, community engagement and awareness, volunteer recruitment) 
Workability - N/A 

Overall score: 4",Yes,Yes,4,"4",,4,Yes
Sayre Health Center,"6085463",www.sayrehealth.org,,,,,,"Our program, which has been in existence for the past 1 and a half years, is honored to be an awardee of the PCCD Gun Violence grant. The primary objective of our violence prevention and intervention program is to create a safe and nurturing space for youth, aiming to divert them from involvement in acts of violence or becoming victims of such acts. Our approach encompasses a range of key activities and strategies:

1. Safe Space for Youth: We provide a physical and emotional safe haven where young individuals can freely express themselves and feel protected from the perils of violence in their communities.

2. Health Education Programs: We offer educational initiatives focusing on violence prevention, conflict resolution, and overall health and wellness, equipping youth with the knowledge and skills to make informed decisions.

3. Field Trips and Exposure: We organize field trips and outings to expose our participants to various resources, opportunities, and the broader world beyond their immediate environment. This helps broaden their horizons and inspire them to aspire for more.

4. Dialog, Mentoring, and Coaching: Our program encourages open and respectful dialogue among participants, mentors, and coaches. This promotes understanding, conflict resolution, and personal growth, creating a supportive community.

5. Mental Stability and Counseling: We offer a vital resource for mental stability and counseling. Trained professionals provide guidance, support, and intervention when necessary to address trauma, emotional challenges, and mental health concerns.

Our program's distinctiveness lies in its holistic and comprehensive approach to youth development and violence prevention. By combining safe spaces, education, exposure to opportunities, dialogue, and mental health support, we empower youth to make positive choices and become agents of change in their communities. We believe that fostering a sense of belonging and offering a holistic range of services makes our program stand out and contributes to its success in preventing and intervening in violence.
","Dear NW Philly Technical Assistance Program,

We are thrilled to have the opportunity to apply for this initiative, which aligns seamlessly with our mission and goals at Sayre Health Center. The essence of this program, fostering mutual support, sharing resources, and facilitating collective growth within the community, resonates deeply with our core values.

Our dedicated health center and outreach community center teams are committed to the well-being of the community we serve. By joining this program, we aspire to harness the resources, knowledge, and expertise it offers to enhance our ability to address critical health and wellness needs. We firmly believe that collaboration and partnership are key to achieving lasting, positive change in our community.

Through our participation, we are eager to demonstrate how the funding will be purposefully utilized to benefit the community we serve. Our approach involves leveraging the strengths and potential contributions of our teams to provide more comprehensive and effective support to our community members.

We appreciate the opportunity to be considered for this journey, and we are ready to invest the necessary time and effort to make the most of this experience. Rest assured, the information provided will be handled with the utmost confidentiality, and we look forward to the possibility of being one of the organizations chosen to participate in this endeavor.

Thank you for extending this opportunity, and we are excited to explore the possibilities of collaboration and collective growth within our community.

Sincerely,

Dr. Jerimiah Sabir, CEO
Sayre Health Center","Educational Outreach, Street Outreach, Community Events, Case Management","We take pride in several key areas where our organization excels, which highlight our dedication to fostering a safer, more resilient community:

1. Comprehensive Holistic Approach in Programs to Prevent Gun Violence: Our organization excels in implementing a holistic approach to gun violence prevention. We integrate the expertise of our Community Center staff and Behavioral Health staff to address the multifaceted nature of this issue. By addressing not only the immediate symptoms but also the underlying social, emotional, and psychological factors that contribute to violence, we aim for long-lasting change. For instance, our Gun Violence Prevention Program, led by our Outreach and Behavioral Health staff, combines mental health support, conflict resolution, and life skills education to empower at-risk youth with the tools to make positive choices. This comprehensive strategy has resulted in numerous success stories of participants who have overcome adversity and are now making positive contributions to society.
2. Education and Empowerment as Catalysts for Change: Our organization places a strong emphasis on education and empowerment as key drivers in the prevention of gun violence. Through our programs, we encourage participants to pursue education, skill development, and personal growth. Many of our success stories involve individuals who, thanks to our support, have completed their education, gained valuable skills, and transitioned into productive roles within their communities. They serve as inspiring examples of how education and empowerment can be powerful tools in breaking the cycle of violence.
3. Dedicated and Compassionate Staff: One of our organization's most significant strengths is our staff. Our Community Center staff and Behavioral Health staff are dedicated, compassionate, and deeply committed to the well-being of our participants. They go above and beyond to create a safe, supportive, and inclusive environment. Their tireless efforts in mentoring, counseling, and guiding individuals have resulted in numerous success stories of individuals who have overcome adversity and are now thriving members of society. These staff members bring a wealth of experience, empathy, and a genuine desire to effect positive change, contributing significantly to the success of our programs.

In conclusion, our organization excels in providing a comprehensive, holistic approach to gun violence prevention, with a focus on education, empowerment, and the dedicated efforts of our staff. The stories of transformation and resilience we have witnessed demonstrate the real impact of our work, and we remain committed to continuing our efforts to make our community safer and more vibrant.
","We have identified three key areas where our organization is actively seeking growth and improvement:

1. Staff Development and Expansion: Our organization recognizes the invaluable role of our staff in delivering high-quality services and support to our community. We seek growth in this area by investing in ongoing training and professional development opportunities for our existing staff. Additionally, we are exploring strategies to expand our team to meet the growing demands of our programs and services effectively. By nurturing the skills and expertise of our staff and increasing our team's capacity, we aim to provide an even higher level of care and support to the community.
2. Enhancement of Services and Program Offerings: We are dedicated to continuously improving and expanding our services to address the evolving needs of our community. We seek growth by enhancing existing programs and introducing new initiatives that target pressing issues, such as mental health, youth development, and violence prevention. This growth includes the incorporation of evidence-based practices and cutting-edge approaches to better serve our constituents. By adapting to emerging challenges and tailoring our services to the community's changing landscape, we can maximize our impact.
3. Infrastructure Modernization: Our organization acknowledges the importance of efficient infrastructure to support our mission effectively. We are working to modernize our infrastructure, including our technology, facilities, and communication systems, to streamline our operations and improve service delivery. Investing in up-to-date technology, creating more accessible and welcoming facilities, and enhancing communication platforms will enable us to better engage with our community and stakeholders. This infrastructure improvement is essential in fostering a more seamless and responsive environment for both our staff and the individuals we serve.

In summary, our organization is committed to seeking growth and improvement in staff development, service enhancement, and infrastructure modernization. These efforts are driven by our dedication to continuously improving our ability to support and empower our community. We are excited about the opportunities for progress in these areas and look forward to making a positive impact on the individuals and families we serve.","5800 Walnut Street, Philadelphia, PA 19139","5800 Walnut St, Philadelphia, PA 19139","2006","Location - West Philly
Reqd docs - ?? 
Programming - 5/5
Needs - 5/5 (staff development, program development, strategic planning) 
Workability - N/A 

Overall Score: 4 (not sure if they serve NW Philly)",No,Yes,5,"5",,4,Yes
For the Culture,"0",,,,,,,"Our primary objectives are to decrease the lack of non-traditional hour services and provide services dedicated to anti-racist work. As we have been in this field for a long time, we noticed that non-traditional hours are when a lot of crime happens, and needs go unaddressed. We want to incorporate community care into services for all ages, in hopes of creating more interventions for people of color. We began our journey in 2022 and officially were declared a non-profit in February 2023. Our method of ""community care"" makes us stand out. The reason we don't have defined services yet is because we want the community to have a say in the process. By creating community forums and safe spaces, we are cultivating community care and connections by letting the community guide us and not just coming into a community and trying to take over.",We are just getting started but we are passionate about underserved communities and would love to have the opportunity to expand our knowledge in any way we can!,"Educational Outreach, Community Events","-Community Buy-In: We value the opinions of the community we want to work on and are dedicated to researching and canvasing the needs, before starting the work. 
-Founders & Board of Directors: All founders and board of directors have done this work for multiple years and were fatigued at how the system harms people of color and wanted to make a difference. All founders and board of directors are the ones doing the ""on the ground"" work and not just making policies. 
-Racial Equity: There are not many organizations that are near us that say they are for people of color and mean it. Often times, organizations, like us, are scared of backlash and underfunding when it comes to racial topics. However, we are open and proud of sticking up for underserved communities. Because people of color deserve services just as much as everyone else.","-Funding: As previously stated, we are a brand-new organization with many ideas. However, we lack funding which makes running the organization harder. 
-Lack of Office Space: As this correlates with funding, we are wanting an office space to conduct our services and community forums. However, we haven't found the right building, and this can put a damper on community connections.","502 West 7th Street, Erie, PA 16502","502 W 7th St, Erie, PA 16502","2023",,,,,,,,Yes
George L Cannon II House of H.O.P.E.,"49000",www.glchouseofhope.org,https://www.instagram.com/glchouse/,,twitter.com/glc4girls1/,,,"We have several programs:
1) COPE 4 Life is a cognitive behavioral program designed around the Trans-Theoretical Approach Model which uses variables to help change behaviors or stages that a person moves through. This program is not currently active
2) After-School S.T.E.A.M Program is an educational approach to learning that uses Science, Technology, Engineering, Arts and Math as access points for guiding students inquiry, dialogue, and critical thinking. We are currently facilitating our Build/Code/Fly Trust Program @ MLK Recreation Center
3) S.M.A.R.T. Girls Program teaches young women self-reliance, how to avoid detrimental behaviors and improve lifestyle choices. This program is not currently active
4) Job Readiness Program teaches teenagers how to complete cover letters, resumes, and a variety of other must-have skills that they will need to succeed at whatever career path they choose. This program is not currently active
5) Etiquette Training teaches our youth to have good manners and excellent interpersonal skills that will allow them to be successful in life. Our youth will leave with the ability to handle themselves in any social setting with confidence poise and grace. This program is not currently active.",N/A,"Educational Outreach, Credible Messengers","1. Programs/Services
2. Staff
","1. Board
2. Fundraising/Grants
3. Contracts","900 Durard Street, Philadelphia, PA 19150","900 Durard St, Philadelphia, PA 19150","2015","Location - ?? 
Reqd docs - ?? 
Programming - 5/5
Needs - 4/5 (board development, fundraising,
contracts?) 
Workability - N/A 

Overall score: 4",Yes,Yes,5,"4",,4,Yes
